minecraft:missingno	x=1152	y=0	w=16	h=16
minecraft:trims/entity/humanoid/sentry_iron	x=512	y=256	w=64	h=32
minecraft:trims/entity/humanoid/sentry_iron_darker	x=512	y=288	w=64	h=32
minecraft:trims/entity/humanoid/sentry_lapis	x=512	y=320	w=64	h=32
minecraft:trims/entity/humanoid/sentry_netherite	x=512	y=352	w=64	h=32
minecraft:trims/entity/humanoid/sentry_netherite_darker	x=512	y=384	w=64	h=32
minecraft:trims/entity/humanoid/sentry_quartz	x=512	y=416	w=64	h=32
minecraft:trims/entity/humanoid/sentry_redstone	x=512	y=448	w=64	h=32
minecraft:trims/entity/humanoid/sentry_resin	x=512	y=480	w=64	h=32
minecraft:trims/entity/humanoid/shaper_amethyst	x=576	y=0	w=64	h=32
minecraft:trims/entity/humanoid/shaper_copper	x=576	y=32	w=64	h=32
minecraft:trims/entity/humanoid/shaper_copper_darker	x=576	y=64	w=64	h=32
minecraft:trims/entity/humanoid/shaper_diamond	x=576	y=96	w=64	h=32
minecraft:trims/entity/humanoid/shaper_diamond_darker	x=576	y=128	w=64	h=32
minecraft:trims/entity/humanoid/shaper_emerald	x=576	y=160	w=64	h=32
minecraft:trims/entity/humanoid/shaper_gold	x=576	y=192	w=64	h=32
minecraft:trims/entity/humanoid/shaper_gold_darker	x=576	y=224	w=64	h=32
minecraft:trims/entity/humanoid/shaper_iron	x=576	y=256	w=64	h=32
minecraft:trims/entity/humanoid/shaper_iron_darker	x=576	y=288	w=64	h=32
minecraft:trims/entity/humanoid/shaper_lapis	x=576	y=320	w=64	h=32
minecraft:trims/entity/humanoid/shaper_netherite	x=576	y=352	w=64	h=32
minecraft:trims/entity/humanoid/shaper_netherite_darker	x=576	y=384	w=64	h=32
minecraft:trims/entity/humanoid/shaper_quartz	x=576	y=416	w=64	h=32
minecraft:trims/entity/humanoid/shaper_redstone	x=576	y=448	w=64	h=32
minecraft:trims/entity/humanoid/shaper_resin	x=576	y=480	w=64	h=32
minecraft:trims/entity/humanoid/silence_amethyst	x=640	y=0	w=64	h=32
minecraft:trims/entity/humanoid/silence_copper	x=640	y=32	w=64	h=32
minecraft:trims/entity/humanoid/silence_copper_darker	x=640	y=64	w=64	h=32
minecraft:trims/entity/humanoid/silence_diamond	x=640	y=96	w=64	h=32
minecraft:trims/entity/humanoid/silence_diamond_darker	x=640	y=128	w=64	h=32
minecraft:trims/entity/humanoid/silence_emerald	x=640	y=160	w=64	h=32
minecraft:trims/entity/humanoid/silence_gold	x=640	y=192	w=64	h=32
minecraft:trims/entity/humanoid/silence_gold_darker	x=640	y=224	w=64	h=32
minecraft:trims/entity/humanoid/silence_iron	x=640	y=256	w=64	h=32
minecraft:trims/entity/humanoid/silence_iron_darker	x=640	y=288	w=64	h=32
minecraft:trims/entity/humanoid/silence_lapis	x=640	y=320	w=64	h=32
minecraft:trims/entity/humanoid/silence_netherite	x=640	y=352	w=64	h=32
minecraft:trims/entity/humanoid/silence_netherite_darker	x=640	y=384	w=64	h=32
minecraft:trims/entity/humanoid/silence_quartz	x=640	y=416	w=64	h=32
minecraft:trims/entity/humanoid/silence_redstone	x=640	y=448	w=64	h=32
minecraft:trims/entity/humanoid/silence_resin	x=640	y=480	w=64	h=32
minecraft:trims/entity/humanoid/snout_amethyst	x=704	y=0	w=64	h=32
minecraft:trims/entity/humanoid/snout_copper	x=704	y=32	w=64	h=32
minecraft:trims/entity/humanoid/snout_copper_darker	x=704	y=64	w=64	h=32
minecraft:trims/entity/humanoid/snout_diamond	x=704	y=96	w=64	h=32
minecraft:trims/entity/humanoid/snout_diamond_darker	x=704	y=128	w=64	h=32
minecraft:trims/entity/humanoid/snout_emerald	x=704	y=160	w=64	h=32
minecraft:trims/entity/humanoid/snout_gold	x=704	y=192	w=64	h=32
minecraft:trims/entity/humanoid/snout_gold_darker	x=704	y=224	w=64	h=32
minecraft:trims/entity/humanoid/snout_iron	x=704	y=256	w=64	h=32
minecraft:trims/entity/humanoid/snout_iron_darker	x=704	y=288	w=64	h=32
minecraft:trims/entity/humanoid/snout_lapis	x=704	y=320	w=64	h=32
minecraft:trims/entity/humanoid/snout_netherite	x=704	y=352	w=64	h=32
minecraft:trims/entity/humanoid/snout_netherite_darker	x=704	y=384	w=64	h=32
minecraft:trims/entity/humanoid/snout_quartz	x=704	y=416	w=64	h=32
minecraft:trims/entity/humanoid/snout_redstone	x=704	y=448	w=64	h=32
minecraft:trims/entity/humanoid/snout_resin	x=704	y=480	w=64	h=32
minecraft:trims/entity/humanoid/spire_amethyst	x=768	y=0	w=64	h=32
minecraft:trims/entity/humanoid/spire_copper	x=768	y=32	w=64	h=32
minecraft:trims/entity/humanoid/spire_copper_darker	x=768	y=64	w=64	h=32
minecraft:trims/entity/humanoid/spire_diamond	x=768	y=96	w=64	h=32
minecraft:trims/entity/humanoid/spire_diamond_darker	x=768	y=128	w=64	h=32
minecraft:trims/entity/humanoid/spire_emerald	x=768	y=160	w=64	h=32
minecraft:trims/entity/humanoid/spire_gold	x=768	y=192	w=64	h=32
minecraft:trims/entity/humanoid/spire_gold_darker	x=768	y=224	w=64	h=32
minecraft:trims/entity/humanoid/spire_iron	x=768	y=256	w=64	h=32
minecraft:trims/entity/humanoid/spire_iron_darker	x=768	y=288	w=64	h=32
minecraft:trims/entity/humanoid/spire_lapis	x=768	y=320	w=64	h=32
minecraft:trims/entity/humanoid/spire_netherite	x=768	y=352	w=64	h=32
minecraft:trims/entity/humanoid/spire_netherite_darker	x=768	y=384	w=64	h=32
minecraft:trims/entity/humanoid/spire_quartz	x=768	y=416	w=64	h=32
minecraft:trims/entity/humanoid/spire_redstone	x=768	y=448	w=64	h=32
minecraft:trims/entity/humanoid/spire_resin	x=768	y=480	w=64	h=32
minecraft:trims/entity/humanoid/tide_amethyst	x=832	y=0	w=64	h=32
minecraft:trims/entity/humanoid/tide_copper	x=832	y=32	w=64	h=32
minecraft:trims/entity/humanoid/tide_copper_darker	x=832	y=64	w=64	h=32
minecraft:trims/entity/humanoid/tide_diamond	x=832	y=96	w=64	h=32
minecraft:trims/entity/humanoid/tide_diamond_darker	x=832	y=128	w=64	h=32
minecraft:trims/entity/humanoid/tide_emerald	x=832	y=160	w=64	h=32
minecraft:trims/entity/humanoid/tide_gold	x=832	y=192	w=64	h=32
minecraft:trims/entity/humanoid/tide_gold_darker	x=832	y=224	w=64	h=32
minecraft:trims/entity/humanoid/tide_iron	x=832	y=256	w=64	h=32
minecraft:trims/entity/humanoid/tide_iron_darker	x=832	y=288	w=64	h=32
minecraft:trims/entity/humanoid/tide_lapis	x=832	y=320	w=64	h=32
minecraft:trims/entity/humanoid/tide_netherite	x=832	y=352	w=64	h=32
minecraft:trims/entity/humanoid/tide_netherite_darker	x=832	y=384	w=64	h=32
minecraft:trims/entity/humanoid/tide_quartz	x=832	y=416	w=64	h=32
minecraft:trims/entity/humanoid/tide_redstone	x=832	y=448	w=64	h=32
minecraft:trims/entity/humanoid/tide_resin	x=832	y=480	w=64	h=32
minecraft:trims/entity/humanoid/vex_amethyst	x=896	y=0	w=64	h=32
minecraft:trims/entity/humanoid/vex_copper	x=896	y=32	w=64	h=32
minecraft:trims/entity/humanoid/vex_copper_darker	x=896	y=64	w=64	h=32
minecraft:trims/entity/humanoid/vex_diamond	x=896	y=96	w=64	h=32
minecraft:trims/entity/humanoid/vex_diamond_darker	x=896	y=128	w=64	h=32
minecraft:trims/entity/humanoid/vex_emerald	x=896	y=160	w=64	h=32
minecraft:trims/entity/humanoid/vex_gold	x=896	y=192	w=64	h=32
minecraft:trims/entity/humanoid/vex_gold_darker	x=896	y=224	w=64	h=32
minecraft:trims/entity/humanoid/vex_iron	x=896	y=256	w=64	h=32
minecraft:trims/entity/humanoid/vex_iron_darker	x=896	y=288	w=64	h=32
minecraft:trims/entity/humanoid/vex_lapis	x=896	y=320	w=64	h=32
minecraft:trims/entity/humanoid/vex_netherite	x=896	y=352	w=64	h=32
minecraft:trims/entity/humanoid/vex_netherite_darker	x=896	y=384	w=64	h=32
minecraft:trims/entity/humanoid/vex_quartz	x=896	y=416	w=64	h=32
minecraft:trims/entity/humanoid/vex_redstone	x=896	y=448	w=64	h=32
minecraft:trims/entity/humanoid/vex_resin	x=896	y=480	w=64	h=32
minecraft:trims/entity/humanoid/ward_amethyst	x=960	y=0	w=64	h=32
minecraft:trims/entity/humanoid/ward_copper	x=960	y=32	w=64	h=32
minecraft:trims/entity/humanoid/ward_copper_darker	x=960	y=64	w=64	h=32
minecraft:trims/entity/humanoid/ward_diamond	x=960	y=96	w=64	h=32
minecraft:trims/entity/humanoid/ward_diamond_darker	x=960	y=128	w=64	h=32
minecraft:trims/entity/humanoid/ward_emerald	x=960	y=160	w=64	h=32
minecraft:trims/entity/humanoid/ward_gold	x=960	y=192	w=64	h=32
minecraft:trims/entity/humanoid/ward_gold_darker	x=960	y=224	w=64	h=32
minecraft:trims/entity/humanoid/ward_iron	x=960	y=256	w=64	h=32
minecraft:trims/entity/humanoid/ward_iron_darker	x=960	y=288	w=64	h=32
minecraft:trims/entity/humanoid/ward_lapis	x=960	y=320	w=64	h=32
minecraft:trims/entity/humanoid/ward_netherite	x=960	y=352	w=64	h=32
minecraft:trims/entity/humanoid/ward_netherite_darker	x=960	y=384	w=64	h=32
minecraft:trims/entity/humanoid/ward_quartz	x=960	y=416	w=64	h=32
minecraft:trims/entity/humanoid/ward_redstone	x=960	y=448	w=64	h=32
minecraft:trims/entity/humanoid/ward_resin	x=960	y=480	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_amethyst	x=0	y=512	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_copper	x=64	y=512	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_copper_darker	x=128	y=512	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_diamond	x=192	y=512	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_diamond_darker	x=256	y=512	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_emerald	x=320	y=512	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_gold	x=384	y=512	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_gold_darker	x=448	y=512	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_iron	x=512	y=512	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_iron_darker	x=576	y=512	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_lapis	x=640	y=512	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_netherite	x=704	y=512	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_netherite_darker	x=768	y=512	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_quartz	x=832	y=512	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_redstone	x=896	y=512	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_resin	x=960	y=512	w=64	h=32
minecraft:trims/entity/humanoid/wild_amethyst	x=0	y=544	w=64	h=32
minecraft:trims/entity/humanoid/wild_copper	x=64	y=544	w=64	h=32
minecraft:trims/entity/humanoid/wild_copper_darker	x=128	y=544	w=64	h=32
minecraft:trims/entity/humanoid/wild_diamond	x=192	y=544	w=64	h=32
minecraft:trims/entity/humanoid/wild_diamond_darker	x=256	y=544	w=64	h=32
minecraft:trims/entity/humanoid/wild_emerald	x=320	y=544	w=64	h=32
minecraft:trims/entity/humanoid/wild_gold	x=384	y=544	w=64	h=32
minecraft:trims/entity/humanoid/wild_gold_darker	x=448	y=544	w=64	h=32
minecraft:trims/entity/humanoid/wild_iron	x=512	y=544	w=64	h=32
minecraft:trims/entity/humanoid/wild_iron_darker	x=576	y=544	w=64	h=32
minecraft:trims/entity/humanoid/wild_lapis	x=640	y=544	w=64	h=32
minecraft:trims/entity/humanoid/wild_netherite	x=704	y=544	w=64	h=32
minecraft:trims/entity/humanoid/wild_netherite_darker	x=768	y=544	w=64	h=32
minecraft:trims/entity/humanoid/wild_quartz	x=832	y=544	w=64	h=32
minecraft:trims/entity/humanoid/wild_redstone	x=896	y=544	w=64	h=32
minecraft:trims/entity/humanoid/wild_resin	x=960	y=544	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_amethyst	x=0	y=576	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_copper	x=64	y=576	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_copper_darker	x=128	y=576	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_diamond	x=192	y=576	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_diamond_darker	x=256	y=576	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_emerald	x=320	y=576	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_gold	x=384	y=576	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_gold_darker	x=448	y=576	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_iron	x=512	y=576	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_iron_darker	x=576	y=576	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_lapis	x=640	y=576	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_netherite	x=704	y=576	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_netherite_darker	x=768	y=576	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_quartz	x=832	y=576	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_redstone	x=896	y=576	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_resin	x=960	y=576	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_amethyst	x=0	y=608	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_copper	x=64	y=608	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_copper_darker	x=128	y=608	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_diamond	x=192	y=608	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_diamond_darker	x=256	y=608	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_emerald	x=320	y=608	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_gold	x=384	y=608	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_gold_darker	x=448	y=608	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_iron	x=512	y=608	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_iron_darker	x=576	y=608	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_lapis	x=640	y=608	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_netherite	x=704	y=608	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_netherite_darker	x=768	y=608	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_quartz	x=832	y=608	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_redstone	x=896	y=608	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_resin	x=960	y=608	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_amethyst	x=0	y=640	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_copper	x=64	y=640	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_copper_darker	x=128	y=640	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_diamond	x=192	y=640	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_diamond_darker	x=256	y=640	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_emerald	x=320	y=640	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_gold	x=384	y=640	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_gold_darker	x=448	y=640	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_iron	x=512	y=640	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_iron_darker	x=576	y=640	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_lapis	x=640	y=640	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_netherite	x=704	y=640	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_netherite_darker	x=768	y=640	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_quartz	x=832	y=640	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_redstone	x=896	y=640	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_resin	x=960	y=640	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_amethyst	x=0	y=672	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_copper	x=64	y=672	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_copper_darker	x=128	y=672	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_diamond	x=192	y=672	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_diamond_darker	x=256	y=672	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_emerald	x=320	y=672	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_gold	x=384	y=672	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_gold_darker	x=448	y=672	w=64	h=32
